plot;Std_procedure(year);Std_procedure(exploratory);G_std;M_std;F_std;LUI
SEG48;separately(2012);global(ALB, HAI, SCH);2,54;0;0;1,59
SEG49;separately(2012);global(ALB, HAI, SCH);2,46;0;0;1,57
SEG50;separately(2012);global(ALB, HAI, SCH);0,46;0;0;0,68
AEG01;separately(2013);global(ALB, HAI, SCH);0;1,92;1,84;1,94
AEG02;separately(2013);global(ALB, HAI, SCH);0;1,92;4,43;2,52
AEG03;separately(2013);global(ALB, HAI, SCH);0;1,92;0,05;1,41
AEG04;separately(2013);global(ALB, HAI, SCH);0,72;0,96;1,84;1,88
AEG05;separately(2013);global(ALB, HAI, SCH);0,91;0,96;1,84;1,93
AEG06;separately(2013);global(ALB, HAI, SCH);1,16;0,96;1,84;1,99
AEG07;separately(2013);global(ALB, HAI, SCH);0,19;0;0;0,43
AEG08;separately(2013);global(ALB, HAI, SCH);1,12;0,96;0;1,44
AEG09;separately(2013);global(ALB, HAI, SCH);0,45;0;0;0,67
AEG10;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
AEG11;separately(2013);global(ALB, HAI, SCH);0;2,88;1,38;2,07
AEG12;separately(2013);global(ALB, HAI, SCH);0;1,92;2,99;2,22
AEG13;separately(2013);global(ALB, HAI, SCH);0;1,92;2,99;2,22
AEG14;separately(2013);global(ALB, HAI, SCH);0;1,92;0,77;1,64
AEG15;separately(2013);global(ALB, HAI, SCH);0;2,88;9,5;3,52
AEG16;separately(2013);global(ALB, HAI, SCH);1,58;0,96;0,77;1,82
AEG17;separately(2013);global(ALB, HAI, SCH);0;1,92;0,74;1,63
AEG18;separately(2013);global(ALB, HAI, SCH);0;2,88;2,15;2,24
AEG19;separately(2013);global(ALB, HAI, SCH);1,37;0;1,84;1,79
AEG20;separately(2013);global(ALB, HAI, SCH);0,35;0;0;0,59
AEG21;separately(2013);global(ALB, HAI, SCH);5,58;0;4,8;3,22
AEG22;separately(2013);global(ALB, HAI, SCH);0,99;0,96;0;1,4
AEG23;separately(2013);global(ALB, HAI, SCH);0;1,92;1,19;1,76
AEG24;separately(2013);global(ALB, HAI, SCH);1,6;1,92;3,75;2,7
AEG25;separately(2013);global(ALB, HAI, SCH);0,29;0;0;0,53
AEG26;separately(2013);global(ALB, HAI, SCH);1,82;0;0;1,35
AEG27;separately(2013);global(ALB, HAI, SCH);1,12;0;0;1,06
AEG28;separately(2013);global(ALB, HAI, SCH);1,46;0;0;1,21
AEG29;separately(2013);global(ALB, HAI, SCH);1,2;1,92;0,76;1,97
AEG30;separately(2013);global(ALB, HAI, SCH);2,29;0,96;0;1,8
AEG31;separately(2013);global(ALB, HAI, SCH);1,36;0,96;0;1,52
AEG32;separately(2013);global(ALB, HAI, SCH);0,8;0;0;0,9
AEG33;separately(2013);global(ALB, HAI, SCH);1,21;0;0;1,1
AEG34;separately(2013);global(ALB, HAI, SCH);1,17;0,96;0;1,46
AEG35;separately(2013);global(ALB, HAI, SCH);0;1,92;1,84;1,94
AEG36;separately(2013);global(ALB, HAI, SCH);0;1,92;1,61;1,88
AEG37;separately(2013);global(ALB, HAI, SCH);0,21;1,92;3,37;2,34
AEG38;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
AEG39;separately(2013);global(ALB, HAI, SCH);0;1,92;3,37;2,3
AEG40;separately(2013);global(ALB, HAI, SCH);0;2,88;3,62;2,55
AEG41;separately(2013);global(ALB, HAI, SCH);0;2,88;7,38;3,2
AEG42;separately(2013);global(ALB, HAI, SCH);1,43;0,96;1,38;1,94
AEG43;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
AEG44;separately(2013);global(ALB, HAI, SCH);1,22;0;0;1,1
AEG45;separately(2013);global(ALB, HAI, SCH);0;1,92;0,77;1,64
AEG46;separately(2013);global(ALB, HAI, SCH);2,86;0;0;1,69
AEG47;separately(2013);global(ALB, HAI, SCH);0,53;0;0;0,72
AEG48;separately(2013);global(ALB, HAI, SCH);0,43;0;0;0,66
AEG49;separately(2013);global(ALB, HAI, SCH);1,22;0;0;1,1
AEG50;separately(2013);global(ALB, HAI, SCH);0;1,92;0,77;1,64
HEG01;separately(2013);global(ALB, HAI, SCH);0,85;1,92;6,36;3,02
HEG02;separately(2013);global(ALB, HAI, SCH);0;0,96;3,46;2,1
HEG03;separately(2013);global(ALB, HAI, SCH);0;1,92;6,36;2,88
HEG04;separately(2013);global(ALB, HAI, SCH);0,58;1,92;2,49;2,23
HEG05;separately(2013);global(ALB, HAI, SCH);0,84;1,92;3,87;2,58
HEG06;separately(2013);global(ALB, HAI, SCH);0,54;1,92;0;1,57
HEG07;separately(2013);global(ALB, HAI, SCH);1,29;0;0;1,13
HEG08;separately(2013);global(ALB, HAI, SCH);1,29;0;0;1,13
HEG09;separately(2013);global(ALB, HAI, SCH);0,47;0;0;0,68
HEG10;separately(2013);global(ALB, HAI, SCH);0;0,96;4,09;2,25
HEG11;separately(2013);global(ALB, HAI, SCH);0;0,96;4,09;2,25
HEG12;separately(2013);global(ALB, HAI, SCH);11,74;0;0;3,43
HEG13;separately(2013);global(ALB, HAI, SCH);0,14;1,92;1,49;1,89
HEG14;separately(2013);global(ALB, HAI, SCH);0,07;1,92;2,77;2,18
HEG15;separately(2013);global(ALB, HAI, SCH);0,3;0,96;3,46;2,17
HEG16;separately(2013);global(ALB, HAI, SCH);1,08;0;0;1,04
HEG17;separately(2013);global(ALB, HAI, SCH);0,25;0;0;0,5
HEG18;separately(2013);global(ALB, HAI, SCH);0,29;0,96;0;1,12
HEG19;separately(2013);global(ALB, HAI, SCH);0,25;0;0;0,5
HEG20;separately(2013);global(ALB, HAI, SCH);0,75;0;0;0,87
HEG21;separately(2013);global(ALB, HAI, SCH);0,34;0;0;0,59
HEG22;separately(2013);global(ALB, HAI, SCH);0,31;1,92;0;1,49
HEG23;separately(2013);global(ALB, HAI, SCH);0,5;0,96;0;1,21
HEG24;separately(2013);global(ALB, HAI, SCH);1,18;0,96;0;1,46
HEG25;separately(2013);global(ALB, HAI, SCH);0,26;0,96;0;1,11
HEG26;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
HEG27;separately(2013);global(ALB, HAI, SCH);0;0,96;2,31;1,81
HEG28;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
HEG29;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
HEG30;separately(2013);global(ALB, HAI, SCH);0;2,88;3,92;2,61
HEG31;separately(2013);global(ALB, HAI, SCH);0,32;1,92;3,83;2,46
HEG32;separately(2013);global(ALB, HAI, SCH);0,56;0,96;2,31;1,96
HEG33;separately(2013);global(ALB, HAI, SCH);0,61;1,92;0;1,59
HEG34;separately(2013);global(ALB, HAI, SCH);0,54;1,92;0;1,57
HEG35;separately(2013);global(ALB, HAI, SCH);1,73;0,96;3,04;2,39
HEG36;separately(2013);global(ALB, HAI, SCH);0,31;1,92;6,96;3,03
HEG37;separately(2013);global(ALB, HAI, SCH);0,31;1,92;6,96;3,03
HEG38;separately(2013);global(ALB, HAI, SCH);6,87;0;0;2,62
HEG39;separately(2013);global(ALB, HAI, SCH);1,02;0;0;1,01
HEG40;separately(2013);global(ALB, HAI, SCH);2,61;0;0;1,61
HEG41;separately(2013);global(ALB, HAI, SCH);0,75;0;0;0,87
HEG42;separately(2013);global(ALB, HAI, SCH);0,41;0;0;0,64
HEG43;separately(2013);global(ALB, HAI, SCH);0,47;0,96;0;1,2
HEG44;separately(2013);global(ALB, HAI, SCH);0,26;0;0;0,51
HEG45;separately(2013);global(ALB, HAI, SCH);0,63;0;0;0,79
HEG46;separately(2013);global(ALB, HAI, SCH);0,54;0;0;0,73
HEG47;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
HEG48;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
HEG49;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
HEG50;separately(2013);global(ALB, HAI, SCH);0,19;0,96;0;1,07
SEG01;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG02;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG03;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG04;separately(2013);global(ALB, HAI, SCH);0,89;0;0;0,94
SEG05;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
SEG06;separately(2013);global(ALB, HAI, SCH);1,84;0;0;1,36
SEG07;separately(2013);global(ALB, HAI, SCH);2,77;0;0;1,66
SEG08;separately(2013);global(ALB, HAI, SCH);0,62;0;3,46;2,02
SEG09;separately(2013);global(ALB, HAI, SCH);3,71;0;0;1,93
SEG10;separately(2013);global(ALB, HAI, SCH);1,46;0,96;0;1,55
SEG11;separately(2013);global(ALB, HAI, SCH);1,14;0,96;0;1,45
SEG12;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG13;separately(2013);global(ALB, HAI, SCH);0;2,88;0;1,7
SEG14;separately(2013);global(ALB, HAI, SCH);0,65;0,96;0;1,27
SEG15;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG16;separately(2013);global(ALB, HAI, SCH);2,57;0;0;1,6
SEG17;separately(2013);global(ALB, HAI, SCH);0,15;1,92;0;1,44
SEG18;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG19;separately(2013);global(ALB, HAI, SCH);0,21;0,96;0;1,08
SEG20;separately(2013);global(ALB, HAI, SCH);3,03;0;0;1,74
SEG21;separately(2013);global(ALB, HAI, SCH);2,93;0;0;1,71
SEG22;separately(2013);global(ALB, HAI, SCH);5,34;0;0;2,31
SEG23;separately(2013);global(ALB, HAI, SCH);0;1,92;3,46;2,32
SEG24;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
SEG25;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG26;separately(2013);global(ALB, HAI, SCH);0;1,92;3,46;2,32
SEG27;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
SEG28;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG29;separately(2013);global(ALB, HAI, SCH);0;0,96;0;0,98
SEG30;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG31;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG32;separately(2013);global(ALB, HAI, SCH);0;1,92;0;1,39
SEG33;separately(2013);global(ALB, HAI, SCH);2,2;0;0;1,48
SEG34;separately(2013);global(ALB, HAI, SCH);1,29;0;0;1,13
SEG35;separately(2013);global(ALB, HAI, SCH);0,54;1,92;0;1,57
SEG36;separately(2013);global(ALB, HAI, SCH);1,77;0;0;1,33
SEG37;separately(2013);global(ALB, HAI, SCH);3,79;0;0;1,95
SEG38;separately(2013);global(ALB, HAI, SCH);1,22;0,96;0;1,48
SEG39;separately(2013);global(ALB, HAI, SCH);0,87;0;0;0,93
SEG40;separately(2013);global(ALB, HAI, SCH);3,14;0;0;1,77
SEG41;separately(2013);global(ALB, HAI, SCH);3,88;0;0;1,97
SEG42;separately(2013);global(ALB, HAI, SCH);5,9;0;1,4;2,7
SEG43;separately(2013);global(ALB, HAI, SCH);0;0;0,9;0,95
SEG44;separately(2013);global(ALB, HAI, SCH);1,81;0;0;1,34
SEG45;separately(2013);global(ALB, HAI, SCH);2,41;0;0;1,55
SEG46;separately(2013);global(ALB, HAI, SCH);8;0;0;2,83
SEG47;separately(2013);global(ALB, HAI, SCH);2,6;0;0;1,61
SEG48;separately(2013);global(ALB, HAI, SCH);2,92;0;0;1,71
SEG49;separately(2013);global(ALB, HAI, SCH);1,39;0;0;1,18
SEG50;separately(2013);global(ALB, HAI, SCH);0,92;0;0;0,96
HEG01;separately(2014);global(ALB, HAI, SCH);0,49;2,71;5,23;2,9
HEG02;separately(2014);global(ALB, HAI, SCH);0,17;0,9;0;1,04
HEG03;separately(2014);global(ALB, HAI, SCH);0,33;3,61;5,23;3,03
HEG04;separately(2014);global(ALB, HAI, SCH);0;2,71;10,77;3,67
HEG05;separately(2014);global(ALB, HAI, SCH);0,78;1,81;3,33;2,43
HEG06;separately(2014);global(ALB, HAI, SCH);0,26;2,71;2,25;2,29
HEG07;separately(2014);global(ALB, HAI, SCH);1,72;0;0;1,31
HEG08;separately(2014);global(ALB, HAI, SCH);1,72;0;0;1,31
HEG09;separately(2014);global(ALB, HAI, SCH);0,85;0;0;0,92
HEG10;separately(2014);global(ALB, HAI, SCH);0,35;1,81;0;1,47
HEG11;separately(2014);global(ALB, HAI, SCH);0,33;0,9;0;1,11
HEG12;separately(2014);global(ALB, HAI, SCH);12,03;0,9;1,94;3,86
HEG13;separately(2014);global(ALB, HAI, SCH);0,23;1,81;0;1,43
HEG14;separately(2014);global(ALB, HAI, SCH);0,21;1,81;2,32;2,08
HEG15;separately(2014);global(ALB, HAI, SCH);0,31;0,9;3,33;2,13
HEG16;separately(2014);global(ALB, HAI, SCH);1,08;0;0;1,04
HEG17;separately(2014);global(ALB, HAI, SCH);0,79;0;0;0,89
HEG18;separately(2014);global(ALB, HAI, SCH);0,32;0;0;0,57
HEG19;separately(2014);global(ALB, HAI, SCH);0,79;0;0;0,89
HEG20;separately(2014);global(ALB, HAI, SCH);1,16;0;0;1,08
HEG21;separately(2014);global(ALB, HAI, SCH);0,33;0;0;0,57
HEG22;separately(2014);global(ALB, HAI, SCH);0,12;1,81;2,5;2,1
HEG23;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
HEG24;separately(2014);global(ALB, HAI, SCH);0,51;0,9;0;1,19
HEG25;separately(2014);global(ALB, HAI, SCH);0,34;0,9;0;1,11
HEG26;separately(2014);global(ALB, HAI, SCH);0;0,9;3,44;2,08
HEG27;separately(2014);global(ALB, HAI, SCH);0;1,81;1,94;1,93
HEG28;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
HEG29;separately(2014);global(ALB, HAI, SCH);0,39;1,81;0;1,48
HEG30;separately(2014);global(ALB, HAI, SCH);0,48;1,81;3,1;2,32
HEG31;separately(2014);global(ALB, HAI, SCH);0,76;1,81;1,94;2,12
HEG32;separately(2014);global(ALB, HAI, SCH);0,75;0,9;1,94;1,9
HEG33;separately(2014);global(ALB, HAI, SCH);1,55;0,9;0;1,57
HEG34;separately(2014);global(ALB, HAI, SCH);0,26;2,71;3,07;2,46
HEG35;separately(2014);global(ALB, HAI, SCH);4,58;0,9;3,41;2,98
HEG36;separately(2014);global(ALB, HAI, SCH);0;2,71;5,66;2,89
HEG37;separately(2014);global(ALB, HAI, SCH);0,43;1,81;5,69;2,82
HEG38;separately(2014);global(ALB, HAI, SCH);4,32;0;0;2,08
HEG39;separately(2014);global(ALB, HAI, SCH);1,65;0;0;1,28
HEG40;separately(2014);global(ALB, HAI, SCH);2,47;0;0;1,57
HEG41;separately(2014);global(ALB, HAI, SCH);1,16;0;0;1,08
HEG42;separately(2014);global(ALB, HAI, SCH);1,08;0;0;1,04
HEG43;separately(2014);global(ALB, HAI, SCH);0,68;0;0;0,82
HEG44;separately(2014);global(ALB, HAI, SCH);1,07;0,9;0;1,41
HEG45;separately(2014);global(ALB, HAI, SCH);0,43;0;0;0,65
HEG46;separately(2014);global(ALB, HAI, SCH);0,49;0,9;0;1,18
HEG47;separately(2014);global(ALB, HAI, SCH);0,52;0,9;3,44;2,21
HEG48;separately(2014);global(ALB, HAI, SCH);0;1,81;3,44;2,29
HEG49;separately(2014);global(ALB, HAI, SCH);0;1,81;3,44;2,29
HEG50;separately(2014);global(ALB, HAI, SCH);0,22;0,9;0;1,06
SEG01;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG02;separately(2014);global(ALB, HAI, SCH);0,93;0,9;0;1,35
SEG03;separately(2014);global(ALB, HAI, SCH);0,98;0,9;0;1,37
SEG04;separately(2014);global(ALB, HAI, SCH);0,62;0,9;0;1,24
SEG05;separately(2014);global(ALB, HAI, SCH);0;0;0;0
SEG06;separately(2014);global(ALB, HAI, SCH);1,94;0;0;1,39
SEG07;separately(2014);global(ALB, HAI, SCH);1,45;0;0;1,21
SEG08;separately(2014);global(ALB, HAI, SCH);3,31;0;3,87;2,68
SEG09;separately(2014);global(ALB, HAI, SCH);3,72;0,9;0;2,15
SEG10;separately(2014);global(ALB, HAI, SCH);0,98;0,9;0;1,37
SEG11;separately(2014);global(ALB, HAI, SCH);0,98;0;0;0,99
SEG12;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG13;separately(2014);global(ALB, HAI, SCH);0,18;0,9;0;1,04
SEG14;separately(2014);global(ALB, HAI, SCH);0,77;0,9;0;1,29
SEG15;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG16;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG17;separately(2014);global(ALB, HAI, SCH);0,26;0,9;0;1,08
SEG18;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
SEG19;separately(2014);global(ALB, HAI, SCH);0,52;1,81;0;1,53
SEG20;separately(2014);global(ALB, HAI, SCH);3,67;0;0;1,92
SEG21;separately(2014);global(ALB, HAI, SCH);2,11;0,9;0;1,74
SEG22;separately(2014);global(ALB, HAI, SCH);2,89;0;0;1,7
SEG23;separately(2014);global(ALB, HAI, SCH);0;1,81;3,87;2,38
SEG24;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG25;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
SEG26;separately(2014);global(ALB, HAI, SCH);0;1,81;3,87;2,38
SEG27;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG28;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG29;separately(2014);global(ALB, HAI, SCH);0;0,9;0;0,95
SEG30;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
SEG31;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
SEG32;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
SEG33;separately(2014);global(ALB, HAI, SCH);3,58;0;0;1,89
SEG34;separately(2014);global(ALB, HAI, SCH);1,65;0,9;0;1,6
SEG35;separately(2014);global(ALB, HAI, SCH);0,67;0,9;0;1,26
SEG36;separately(2014);global(ALB, HAI, SCH);1,67;0;0;1,29
SEG37;separately(2014);global(ALB, HAI, SCH);2,14;0;0;1,46
SEG38;separately(2014);global(ALB, HAI, SCH);1,98;0,9;0;1,7
SEG39;separately(2014);global(ALB, HAI, SCH);0,89;0,9;0;1,34
SEG40;separately(2014);global(ALB, HAI, SCH);4,05;0;0;2,01
SEG41;separately(2014);global(ALB, HAI, SCH);3,12;0;0;1,77
SEG42;separately(2014);global(ALB, HAI, SCH);3,15;0;0,92;2,02
SEG43;separately(2014);global(ALB, HAI, SCH);1,85;0;1,13;1,73
SEG44;separately(2014);global(ALB, HAI, SCH);3,95;0;0,92;2,21
SEG45;separately(2014);global(ALB, HAI, SCH);2,17;0;0;1,47
SEG46;separately(2014);global(ALB, HAI, SCH);3,14;0;0;1,77
SEG47;separately(2014);global(ALB, HAI, SCH);2,54;0;0;1,59
SEG48;separately(2014);global(ALB, HAI, SCH);3,62;0;0;1,9
SEG49;separately(2014);global(ALB, HAI, SCH);2,43;0;0;1,56
SEG50;separately(2014);global(ALB, HAI, SCH);2,3;0;0;1,52
AEG01;separately(2014);global(ALB, HAI, SCH);0;2,71;3,16;2,42
AEG02;separately(2014);global(ALB, HAI, SCH);0;2,71;9,69;3,52
AEG03;separately(2014);global(ALB, HAI, SCH);0,09;1,81;0;1,38
AEG04;separately(2014);global(ALB, HAI, SCH);0,97;0,9;1,29;1,78
AEG05;separately(2014);global(ALB, HAI, SCH);0,94;0,9;2,19;2,01
AEG06;separately(2014);global(ALB, HAI, SCH);2,74;0,9;1,55;2,28
AEG07;separately(2014);global(ALB, HAI, SCH);0,18;0;0;0,42
AEG08;separately(2014);global(ALB, HAI, SCH);0,47;0,9;0;1,17
AEG09;separately(2014);global(ALB, HAI, SCH);0,52;0;0;0,72
AEG10;separately(2014);global(ALB, HAI, SCH);0;0;0;0
AEG11;separately(2014);global(ALB, HAI, SCH);0;3,61;1,36;2,23
AEG12;separately(2014);global(ALB, HAI, SCH);0;2,71;1,55;2,06
AEG13;separately(2014);global(ALB, HAI, SCH);0;2,71;2,84;2,35
AEG14;separately(2014);global(ALB, HAI, SCH);0;1,81;3,68;2,34
AEG15;separately(2014);global(ALB, HAI, SCH);0;2,71;4,57;2,7
AEG16;separately(2014);global(ALB, HAI, SCH);0,95;0,9;0;1,36
AEG17;separately(2014);global(ALB, HAI, SCH);0;1,81;0,88;1,64
AEG18;separately(2014);global(ALB, HAI, SCH);0;2,71;4,11;2,61
AEG19;separately(2014);global(ALB, HAI, SCH);1,35;0;1,55;1,7
AEG20;separately(2014);global(ALB, HAI, SCH);0,94;0;0;0,97
AEG21;separately(2014);global(ALB, HAI, SCH);3,14;0,9;0,64;2,16
AEG22;separately(2014);global(ALB, HAI, SCH);0,29;0,9;1,25;1,56
AEG23;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG24;separately(2014);global(ALB, HAI, SCH);1,17;2,71;3,15;2,65
AEG25;separately(2014);global(ALB, HAI, SCH);0,31;0;0;0,56
AEG26;separately(2014);global(ALB, HAI, SCH);1,7;0;0;1,3
AEG27;separately(2014);global(ALB, HAI, SCH);1,28;0;0;1,13
AEG28;separately(2014);global(ALB, HAI, SCH);1,42;0;0;1,19
AEG29;separately(2014);global(ALB, HAI, SCH);0,71;0,9;0;1,27
AEG30;separately(2014);global(ALB, HAI, SCH);0,82;1,81;0;1,62
AEG31;separately(2014);global(ALB, HAI, SCH);0,79;0,9;0;1,3
AEG32;separately(2014);global(ALB, HAI, SCH);0,63;0;0;0,79
AEG33;separately(2014);global(ALB, HAI, SCH);1,12;0;0;1,06
AEG34;separately(2014);global(ALB, HAI, SCH);1,47;0,9;0;1,54
AEG35;separately(2014);global(ALB, HAI, SCH);0;2,71;3,23;2,44
AEG36;separately(2014);global(ALB, HAI, SCH);0;2,71;3,23;2,44
AEG37;separately(2014);global(ALB, HAI, SCH);0;1,81;1,55;1,83
AEG38;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG39;separately(2014);global(ALB, HAI, SCH);0;1,81;1,55;1,83
AEG40;separately(2014);global(ALB, HAI, SCH);0;1,81;1,16;1,72
AEG42;separately(2014);global(ALB, HAI, SCH);0;2,71;1,88;2,14
AEG43;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG44;separately(2014);global(ALB, HAI, SCH);1,77;0;0;1,33
AEG45;separately(2014);global(ALB, HAI, SCH);0;1,81;0,64;1,56
AEG46;separately(2014);global(ALB, HAI, SCH);2,19;0;0;1,48
AEG47;separately(2014);global(ALB, HAI, SCH);0,7;0;0;0,84
AEG48;separately(2014);global(ALB, HAI, SCH);0,49;0;0;0,7
AEG49;separately(2014);global(ALB, HAI, SCH);1,18;0;0;1,09
AEG50;separately(2014);global(ALB, HAI, SCH);0;1,81;0,32;1,46
